Arrondissement,Point Order,PolygonID,Latitude,Longitude
Ville-Marie,422,66023,-73.58662093,45.51555311
Ville-Marie,423,66023,-73.58824983,45.51628315
Ville-Marie,424,66023,-73.58932982,45.51675216
Ville-Marie,425,66023,-73.58980385,45.51628212
Ville-Marie,426,66023,-73.59020578,45.51575318
Ville-Marie,427,66023,-73.59119882,45.51471018
Ville-Marie,428,66023,-73.59128877,45.51464918
Ville-Marie,429,66023,-73.59141883,45.51457816
Ville-Marie,430,66023,-73.59160484,45.51451213
Ville-Marie,431,66023,-73.59184484,45.51447216
Ville-Marie,432,66023,-73.59202884,45.51446913
Ville-Marie,433,66023,-73.5921678,45.51448414
Ville-Marie,434,66023,-73.59560371,45.51458109
Ville-Marie,435,66023,-73.59685871,45.51456212
Ville-Marie,436,66023,-73.59706168,45.51453414
Ville-Marie,437,66023,-73.59720277,45.51450207
Ville-Marie,438,66023,-73.59736675,45.51445306
Ville-Marie,439,66023,-73.59755073,45.51437308
Ville-Marie,440,66023,-73.59770376,45.5142861
Ville-Marie,441,66023,-73.59786075,45.51416313
Ville-Marie,442,66023,-73.59841571,45.5136001
Ville-Marie,443,66023,-73.59889573,45.5131121
Ville-Marie,444,66023,-73.59878876,45.51309411
Ville-Marie,445,66023,-73.59868181,45.5130861
Ville-Marie,446,66023,-73.59841971,45.51310307
Ville-Marie,447,66023,-73.59807473,45.51317311
Ville-Marie,448,66023,-73.59790574,45.5131891
Ville-Marie,449,66023,-73.59771574,45.51320105
Ville-Marie,450,66023,-73.59750977,45.51319907
Ville-Marie,451,66023,-73.59733376,45.51318311
Ville-Marie,452,66023,-73.59717579,45.51315508
Ville-Marie,453,66023,-73.59703275,45.51309914
Ville-Marie,454,66023,-73.59694081,45.51304108
Ville-Marie,455,66023,-73.59682077,45.51291106
Ville-Marie,456,66023,-73.59677876,45.51273012
Ville-Marie,457,66023,-73.59679381,45.51263714
Ville-Marie,458,66023,-73.59681673,45.51258412
Ville-Marie,459,66023,-73.59688182,45.51249614
Ville-Marie,460,66023,-73.59690078,45.51177807
Ville-Marie,461,66023,-73.59667585,45.51154608
Ville-Marie,462,66023,-73.59567387,45.51112009
Ville-Marie,463,66023,-73.59496687,45.51090614
Ville-Marie,464,66023,-73.59436284,45.51091213
Ville-Marie,465,66023,-73.59350884,45.51052515
Ville-Marie,466,66023,-73.59419094,45.50978611
Ville-Marie,467,66023,-73.59146491,45.50807012
Ville-Marie,468,66023,-73.59349,45.50611205
Ville-Marie,469,66023,-73.59561091,45.50406299
Ville-Marie,470,66023,-73.59422992,45.50331999
Ville-Marie,471,66023,-73.5943389,45.503167
Ville-Marie,472,66023,-73.59457793,45.50295504
Ville-Marie,473,66023,-73.59495391,45.50277799
Ville-Marie,474,66023,-73.5954029,45.50258206
Ville-Marie,475,66023,-73.59591495,45.50241703
Ville-Marie,476,66023,-73.59643592,45.50227503
Ville-Marie,477,66023,-73.59695994,45.50207102
Ville-Marie,478,66023,-73.59737696,45.50187798
Ville-Marie,479,66023,-73.59861602,45.50115796
Ville-Marie,480,66023,-73.60051598,45.49959995
Ville-Marie,481,66023,-73.6026301,45.497674
Ville-Marie,482,66023,-73.60451817,45.49578392
Ville-Marie,483,66023,-73.60466122,45.49569595
Ville-Marie,484,66023,-73.60488123,45.49561791
Ville-Marie,485,66023,-73.60624821,45.49542495
Ville-Marie,486,66023,-73.60668419,45.49548492
Ville-Marie,487,66023,-73.60684019,45.49527591
Ville-Marie,488,66023,-73.60490517,45.49476791
Ville-Marie,489,66023,-73.60459718,45.49474596
Ville-Marie,490,66023,-73.60381919,45.49475595
Ville-Marie,491,66023,-73.60314613,45.49490191
Ville-Marie,492,66023,-73.60294719,45.49495393
Ville-Marie,493,66023,-73.60274214,45.49501792
Ville-Marie,494,66023,-73.60284914,45.49449091
Ville-Marie,495,66023,-73.60160113,45.49434698
Ville-Marie,496,66023,-73.60091311,45.49426697
Ville-Marie,497,66023,-73.60120717,45.49370101
Ville-Marie,498,66023,-73.59984709,45.49312501
Ville-Marie,499,66023,-73.59824705,45.49243696
Ville-Marie,500,66023,-73.59686803,45.49186704
Ville-Marie,501,66023,-73.59646705,45.49170395
Ville-Marie,502,66023,-73.59572004,45.49261198
Ville-Marie,503,66023,-73.59261388,45.49164604
Ville-Marie,504,66023,-73.58932592,45.49058409
